Customer_ID,Age,Income,Gender,Product,Spend,Pref_TV,Pref_Appliance,Location,Recency,Frequency,Monetary,Pref_Score,Cluster,Segment
CUST_00052,51,13787.0,F,TV,666.1826026405241,3.574809298281345,7.804038175966694,Urban,127,12,8213.792539366705,5.68942373712402,3,Occasional Young Shoppers
CUST_00093,64,49484.0,M,Smartphone,605.180563562066,7.504918084097161,5.07082631546202,Suburban,237,11,6577.625376130714,6.28787219977959,0,Budget Rural Families
CUST_00015,25,40440.0,M,TV,1092.659649740677,9.50776336226473,1.388532617766473,Urban,354,10,6638.82240420978,5.448147990015602,2,Loyal Appliance Buyers
CUST_00072,57,31922.0,F,Washing Machine,843.900931886992,9.25369101522832,3.786406705769501,Urban,111,8,5635.939046207425,6.52004886049891,3,Occasional Young Shoppers
CUST_00061,66,35240.0,F,Refrigerator,1418.4782614841351,6.25083593629682,3.880991269053111,Rural,315,12,9467.908066239,5.065913602674965,2,Loyal Appliance Buyers
CUST_00021,61,33624.0,M,Washing Machine,413.7909589744519,5.1634927293128055,8.545176136441142,Urban,342,10,8545.521363353593,6.854334432876974,2,Loyal Appliance Buyers
CUST_00083,36,18738.0,F,Refrigerator,195.8159615209943,8.364704584954437,6.888069801998869,Suburban,144,4,2176.5916893760173,7.626387193476653,3,Occasional Young Shoppers
CUST_00087,59,22557.0,M,Laptop,620.229153393862,7.149937263649569,3.478869132755256,Urban,64,10,5095.541043607631,5.314403198202412,3,Occasional Young Shoppers
CUST_00075,58,10549.0,M,Smartphone,944.2334260878253,2.652077027952396,9.709659591931777,Urban,246,12,12090.48192336529,6.180868309942086,1,Tech-Savvy Urbanites
CUST_00075,54,21060.0,M,Laptop,1298.1584585274677,8.388272922517002,3.8938764915808415,Rural,222,12,12090.48192336529,6.141074707048922,1,Tech-Savvy Urbanites
CUST_00088,23,39803.0,F,Refrigerator,551.9854856864752,4.859959504552392,9.984106232458483,Suburban,312,9,6527.294542363398,7.422032868505438,2,Loyal Appliance Buyers
CUST_00100,69,15830.0,F,Refrigerator,997.9907891304694,2.700870939740576,9.965473238532368,Urban,105,9,5275.276339877821,6.333172089136472,3,Occasional Young Shoppers
CUST_00024,43,36738.0,M,Refrigerator,557.7880874836676,3.536176153568432,2.720894659720676,Rural,180,14,7195.977537740669,3.128535406644554,2,Loyal Appliance Buyers
CUST_00003,51,23059.0,F,TV,944.9683953419644,3.407743272235081,3.8146700456956015,Rural,183,12,9907.892805725707,3.611206658965341,1,Tech-Savvy Urbanites
CUST_00022,62,11018.0,M,Smartphone,1332.9715231944438,5.672862771431141,5.374397786361888,Rural,225,6,5385.469951596937,5.523630278896514,2,Loyal Appliance Buyers
CUST_00053,23,12662.0,M,Laptop,385.4685812761431,3.10933081610088,6.976906040331018,Urban,264,11,5174.277504427387,5.043118428215949,2,Loyal Appliance Buyers
CUST_00002,54,34879.0,M,Laptop,636.1503810552068,2.1120983866141856,5.752427041034194,Urban,277,13,8843.665128866594,3.9322627138241897,2,Loyal Appliance Buyers
CUST_00088,50,29035.0,M,Washing Machine,1490.2345348231324,2.1132176555238464,9.724973222190313,Suburban,88,9,6527.294542363398,5.919095438857079,3,Occasional Young Shoppers
CUST_00030,39,23176.0,M,Refrigerator,1309.407690961718,6.24948577425187,7.515902478121223,Suburban,175,10,7332.331023326739,6.882694126186546,3,Occasional Young Shoppers
CUST_00038,38,19206.0,F,Refrigerator,868.7277939494928,7.612833599644407,2.9084036444467696,Urban,17,10,7444.057121305412,5.260618622045588,3,Occasional Young Shoppers
CUST_00002,23,24472.0,F,Refrigerator,799.1100081886992,3.893797079545067,1.945877951922745,Suburban,105,13,8843.665128866594,2.919837515733906,3,Occasional Young Shoppers
CUST_00064,23,34206.0,M,Laptop,462.6705543417874,1.3118563883261536,7.195611616384211,Urban,270,9,5110.857669811365,4.253734002355182,2,Loyal Appliance Buyers
CUST_00060,65,46070.0,M,Washing Machine,799.9536701556176,2.1450239824330968,2.426071961626867,Urban,318,11,8569.35683925131,2.285547972029982,2,Loyal Appliance Buyers
CUST_00021,21,47186.0,M,TV,1279.863172505923,9.232251043033514,8.089091563021787,Urban,166,10,8545.521363353593,8.660671303027652,0,Budget Rural Families
CUST_00033,47,26529.0,M,Smartphone,1043.5030442527818,5.441892936305077,3.799330005343033,Suburban,12,18,12919.118584252372,4.620611470824055,1,Tech-Savvy Urbanites
CUST_00076,28,20212.0,M,TV,470.5638408580805,5.0821552865365724,3.942039367500459,Urban,336,8,5640.5475772623495,4.512097327018516,2,Loyal Appliance Buyers
CUST_00058,47,23697.0,F,Laptop,342.1226855276228,1.3424426047908182,1.0971855315056076,Rural,31,15,11362.839601721138,1.2198140681482128,1,Tech-Savvy Urbanites
CUST_00022,48,28597.0,M,Refrigerator,434.5523786454022,7.557733200852092,7.309101403855366,Suburban,39,6,5385.469951596937,7.433417302353729,3,Occasional Young Shoppers
CUST_00089,41,28539.0,F,Smartphone,296.1508420195985,5.75261272838871,2.0194277775821723,Suburban,147,14,9197.131941987962,3.886020252985441,1,Tech-Savvy Urbanites
CUST_00049,26,42361.0,F,Laptop,188.6790092343881,2.818728424778687,7.955925197171663,Rural,217,9,7391.7511279758355,5.387326810975175,0,Budget Rural Families
CUST_00091,20,63442.0,M,Laptop,657.7474529409798,1.9906638416295144,5.426810397254862,Suburban,218,5,4847.149078886973,3.708737119442188,0,Budget Rural Families
CUST_00059,68,19878.0,F,Laptop,214.28442637748816,4.450490772687987,8.058518334591122,Rural,81,10,10337.748152179323,6.2545045536395545,3,Occasional Young Shoppers
CUST_00042,48,64728.0,F,Smartphone,299.2732087043013,8.534457677755231,6.255338852779672,Urban,332,9,6905.829592272245,7.394898265267452,0,Budget Rural Families
CUST_00092,57,39582.0,F,Smartphone,843.6207922922549,8.78765103280922,1.741899448170917,Urban,207,19,13360.576309322469,5.264775240490069,1,Tech-Savvy Urbanites
CUST_00060,54,20944.0,M,Washing Machine,288.6689468643833,6.425617423560728,7.890871030346648,Urban,200,11,8569.35683925131,7.158244226953688,2,Loyal Appliance Buyers
CUST_00080,53,46597.0,M,Washing Machine,142.62566277480914,7.547827845071284,1.6281953640527478,Urban,331,8,5114.465969836492,4.588011604562016,2,Loyal Appliance Buyers
CUST_00015,41,51166.0,M,TV,510.2138325404336,2.036402086625833,5.30831548512399,Rural,37,10,6638.82240420978,3.672358785874912,0,Budget Rural Families
CUST_00062,48,17498.0,M,Smartphone,369.4626930018529,6.293134589210694,2.551142927304669,Urban,210,19,14057.248394588696,4.422138758257682,1,Tech-Savvy Urbanites
CUST_00062,23,52371.0,M,Smartphone,797.1925225918462,7.002691331384636,7.771016601800965,Suburban,326,19,14057.248394588696,7.386853966592801,1,Tech-Savvy Urbanites
CUST_00047,19,37705.0,F,Smartphone,198.4322726456535,2.80641558622413,9.20432105025514,Suburban,248,12,6025.688116273296,6.0053683182396345,0,Budget Rural Families
CUST_00062,37,71990.0,M,Washing Machine,1140.0676421403182,8.92139259619233,5.987135470224469,Suburban,226,19,14057.248394588696,7.4542640332084,0,Budget Rural Families
CUST_00051,45,17818.0,F,Laptop,1364.038603180951,2.754970637689178,5.744325648692625,Urban,47,13,12167.811323959124,4.2496481431909015,1,Tech-Savvy Urbanites
